state_name,city_name,year,month,day_of_week,time_of_day,accident_severity,vehicles_involved,vehicle_type,casualties,fatalities,weather,road_type,road_condition,lighting,traffic_control,speed_limit,driver_age,driver_gender,driver_license_status,alcohol_involvement,location_details,accident_id,month_num,hour,is_night,is_peak_hour,is_rainy,alcohol_flag,is_weekend,severity_binary
Jharkhand,Unknown,2020,February,Tuesday,22:38,Fatal,5,Pedestrian,4,1,Hazy,National Highway,Under Construction,Daylight,Police Checkpost,110,57,Male,Unknown,No,Curve,660,2,22,1,0,0,0,0,1
Manipur,Unknown,2022,February,Thursday,8:2,Fatal,4,Car,10,3,Rainy,National Highway,Dry,Dawn,Unknown,104,67,Male,Valid,Yes,Intersection,661,2,8,0,1,1,1,0,1
Uttarakhand,Unknown,2021,August,Tuesday,4:25,Serious,5,Two-Wheeler,8,3,Stormy,Village Road,Wet,Dusk,Police Checkpost,116,67,Male,Expired,No,Straight Road,662,8,4,1,0,0,0,0,1
Himachal Pradesh,Unknown,2023,July,Monday,21:28,Minor,3,Cycle,1,4,Hazy,Urban Road,Under Construction,Dawn,Police Checkpost,35,51,Female,Expired,Yes,Straight Road,663,7,21,1,0,0,1,0,0
Arunachal Pradesh,Unknown,2021,December,Thursday,17:5,Serious,1,Auto-Rickshaw,9,2,Hazy,Village Road,Under Construction,Daylight,Police Checkpost,61,32,Male,Expired,Yes,Straight Road,664,12,17,0,1,0,1,0,1
Jharkhand,Unknown,2019,July,Wednesday,13:12,Fatal,4,Pedestrian,3,0,Clear,National Highway,Under Construction,Dark,Signals,62,63,Female,Expired,Yes,Curve,665,7,13,0,0,0,1,0,1
Madhya Pradesh,Unknown,2023,April,Wednesday,20:45,Serious,1,Truck,9,1,Rainy,Village Road,Wet,Dusk,Police Checkpost,90,19,Male,Valid,No,Intersection,666,4,20,1,0,1,0,0,1
Punjab,Unknown,2022,July,Tuesday,13:50,Minor,3,Auto-Rickshaw,5,5,Rainy,Village Road,Dry,Dusk,Signs,73,51,Female,Valid,No,Curve,667,7,13,0,0,1,0,0,0
Chhattisgarh,Unknown,2023,November,Wednesday,21:56,Fatal,2,Bus,3,5,Stormy,National Highway,Dry,Daylight,Signs,75,26,Male,Expired,No,Curve,668,11,21,1,0,0,0,0,1
Madhya Pradesh,Unknown,2022,February,Sunday,15:38,Serious,4,Bus,10,4,Hazy,National Highway,Damaged,Dawn,Signs,120,35,Male,Expired,No,Intersection,669,2,15,0,0,0,0,1,1
Puducherry,Unknown,2021,July,Saturday,11:17,Fatal,2,Truck,8,0,Foggy,Village Road,Wet,Dusk,Unknown,69,38,Female,Unknown,No,Straight Road,670,7,11,0,0,0,0,1,1
Sikkim,Unknown,2021,February,Wednesday,19:49,Minor,4,Auto-Rickshaw,6,4,Hazy,Village Road,Damaged,Daylight,Unknown,51,68,Female,Unknown,No,Intersection,671,2,19,0,1,0,0,0,0
Chandigarh,Unknown,2020,June,Thursday,9:33,Minor,2,Two-Wheeler,1,3,Hazy,State Highway,Wet,Daylight,Signals,33,44,Female,Valid,Yes,Straight Road,672,6,9,0,1,0,1,0,0
Sikkim,Unknown,2020,August,Monday,4:33,Serious,2,Auto-Rickshaw,9,1,Clear,National Highway,Damaged,Dusk,Signs,51,25,Male,Expired,No,Curve,673,8,4,1,0,0,0,0,1
Haryana,Unknown,2022,November,Friday,17:15,Serious,2,Cycle,2,4,Rainy,State Highway,Dry,Daylight,Signals,56,22,Male,Expired,Yes,Bridge,674,11,17,0,1,1,1,0,1
Himachal Pradesh,Unknown,2021,June,Thursday,20:32,Minor,2,Auto-Rickshaw,1,0,Rainy,Village Road,Under Construction,Dusk,Signs,54,19,Female,Unknown,Yes,Bridge,675,6,20,1,0,1,1,0,0
Uttar Pradesh,Lucknow,2023,May,Tuesday,5:18,Serious,3,Pedestrian,0,2,Clear,State Highway,Wet,Dark,Signals,89,27,Male,Expired,No,Bridge,676,5,5,1,0,0,0,0,1
Assam,Unknown,2018,November,Friday,9:58,Serious,1,Car,8,0,Foggy,State Highway,Under Construction,Dusk,Unknown,102,61,Female,Valid,Yes,Intersection,677,11,9,0,1,0,1,0,1
Odisha,Unknown,2020,March,Wednesday,11:36,Minor,1,Pedestrian,1,2,Clear,Village Road,Dry,Dawn,Signals,110,25,Female,Expired,Yes,Straight Road,678,3,11,0,0,0,1,0,0
Puducherry,Unknown,2022,April,Wednesday,3:5,Minor,5,Car,5,3,Foggy,Village Road,Wet,Dark,Police Checkpost,116,44,Male,Valid,Yes,Curve,679,4,3,1,0,0,1,0,0
Karnataka,Mangalore,2020,February,Wednesday,2:54,Serious,4,Cycle,2,2,Hazy,Urban Road,Under Construction,Dawn,Police Checkpost,60,38,Female,Valid,Yes,Bridge,680,2,2,1,0,0,1,0,1
Gujarat,Ahmedabad,2022,January,Friday,13:46,Fatal,4,Two-Wheeler,8,5,Foggy,Urban Road,Under Construction,Dark,Police Checkpost,100,43,Male,Unknown,Yes,Straight Road,681,1,13,0,0,0,1,0,1
Puducherry,Unknown,2022,April,Monday,15:32,Minor,4,Two-Wheeler,0,3,Rainy,State Highway,Under Construction,Dawn,Police Checkpost,118,62,Male,Expired,No,Bridge,682,4,15,0,0,1,0,0,0
Sikkim,Unknown,2020,March,Monday,6:39,Minor,3,Pedestrian,4,1,Stormy,State Highway,Wet,Daylight,Signals,43,25,Male,Unknown,No,Straight Road,683,3,6,0,0,0,0,0,0
Tamil Nadu,Coimbatore,2021,August,Sunday,16:25,Fatal,2,Cycle,1,1,Clear,National Highway,Dry,Dawn,Police Checkpost,40,68,Male,Unknown,No,Curve,684,8,16,0,0,0,0,1,1
Chandigarh,Unknown,2021,January,Tuesday,23:8,Serious,5,Auto-Rickshaw,5,3,Stormy,National Highway,Damaged,Dusk,Police Checkpost,62,36,Male,Valid,No,Intersection,685,1,23,1,0,0,0,0,1
Nagaland,Unknown,2021,August,Friday,8:52,Minor,2,Bus,0,3,Rainy,Urban Road,Wet,Dark,Signs,32,43,Female,Valid,Yes,Bridge,686,8,8,0,1,1,1,0,0
Uttarakhand,Unknown,2021,September,Tuesday,20:38,Minor,3,Car,10,1,Stormy,Urban Road,Damaged,Dark,Unknown,111,28,Female,Valid,Yes,Curve,687,9,20,1,0,0,1,0,0
Chandigarh,Unknown,2022,May,Friday,21:29,Minor,1,Pedestrian,8,4,Hazy,Urban Road,Dry,Daylight,Signs,51,30,Male,Unknown,No,Bridge,688,5,21,1,0,0,0,0,0
Jammu and Kashmir,Unknown,2021,January,Friday,23:27,Serious,1,Auto-Rickshaw,1,4,Foggy,National Highway,Dry,Dawn,Signals,40,42,Female,Unknown,No,Bridge,689,1,23,1,0,0,0,0,1
Andhra Pradesh,Tirupati,2022,May,Monday,6:51,Fatal,1,Cycle,0,2,Hazy,Village Road,Dry,Dusk,Signals,84,27,Male,Unknown,No,Straight Road,690,5,6,0,0,0,0,0,1
Madhya Pradesh,Unknown,2022,April,Monday,14:43,Serious,2,Car,1,1,Clear,Village Road,Damaged,Dawn,Police Checkpost,49,49,Male,Valid,Yes,Bridge,691,4,14,0,0,0,1,0,1
Chandigarh,Unknown,2018,June,Monday,2:57,Serious,3,Bus,5,5,Stormy,State Highway,Dry,Dark,Unknown,60,56,Female,Expired,No,Bridge,692,6,2,1,0,0,0,0,1
Uttar Pradesh,Varanasi,2020,February,Wednesday,23:57,Fatal,3,Truck,3,5,Foggy,Village Road,Damaged,Dawn,Signs,70,25,Female,Valid,Yes,Straight Road,693,2,23,1,0,0,1,0,1
West Bengal,Durgapur,2021,September,Monday,14:41,Fatal,2,Pedestrian,3,5,Stormy,National Highway,Dry,Dusk,Police Checkpost,41,61,Male,Expired,Yes,Straight Road,694,9,14,0,0,0,1,0,1
Chhattisgarh,Unknown,2023,May,Monday,3:14,Serious,2,Car,3,0,Clear,State Highway,Damaged,Daylight,Police Checkpost,47,34,Female,Unknown,Yes,Intersection,695,5,3,1,0,0,1,0,1
West Bengal,Siliguri,2021,January,Tuesday,4:32,Fatal,1,Car,10,3,Rainy,Village Road,Under Construction,Daylight,Police Checkpost,106,34,Male,Valid,Yes,Straight Road,696,1,4,1,0,1,1,0,1
Delhi,Rohini,2021,January,Wednesday,1:38,Fatal,4,Cycle,8,3,Stormy,State Highway,Under Construction,Dark,Signals,77,67,Male,Valid,No,Intersection,697,1,1,1,0,0,0,0,1
Gujarat,Ahmedabad,2019,June,Sunday,18:24,Serious,3,Truck,10,3,Rainy,National Highway,Under Construction,Daylight,Unknown,66,47,Female,Unknown,No,Straight Road,698,6,18,0,1,1,0,1,1
Goa,Unknown,2022,January,Thursday,10:48,Serious,2,Bus,1,2,Rainy,Urban Road,Under Construction,Dusk,Police Checkpost,90,19,Male,Valid,No,Bridge,699,1,10,0,1,1,0,0,1
Goa,Unknown,2018,December,Monday,4:38,Minor,2,Truck,1,0,Hazy,Urban Road,Under Construction,Daylight,Signals,67,70,Female,Valid,No,Intersection,700,12,4,1,0,0,0,0,0
Assam,Unknown,2019,November,Wednesday,13:2,Serious,4,Cycle,5,3,Hazy,National Highway,Dry,Dusk,Police Checkpost,65,18,Male,Valid,No,Bridge,701,11,13,0,0,0,0,0,1
Punjab,Unknown,2022,May,Wednesday,9:3,Fatal,2,Bus,6,3,Foggy,National Highway,Dry,Daylight,Signs,53,44,Female,Unknown,Yes,Bridge,702,5,9,0,1,0,1,0,1
Odisha,Unknown,2020,September,Tuesday,3:54,Minor,3,Pedestrian,0,4,Hazy,Urban Road,Wet,Dusk,Signs,69,29,Female,Valid,Yes,Curve,703,9,3,1,0,0,1,0,0
Uttarakhand,Unknown,2023,August,Friday,2:55,Fatal,1,Cycle,8,5,Foggy,Urban Road,Under Construction,Dawn,Signs,84,69,Male,Valid,No,Intersection,704,8,2,1,0,0,0,0,1
Madhya Pradesh,Unknown,2022,November,Thursday,14:12,Serious,2,Bus,1,0,Rainy,State Highway,Under Construction,Dawn,Unknown,41,28,Female,Valid,Yes,Curve,705,11,14,0,0,1,1,0,1
Karnataka,Mysore,2023,June,Sunday,16:49,Minor,2,Truck,8,0,Stormy,Village Road,Dry,Dusk,Police Checkpost,48,67,Female,Valid,No,Straight Road,706,6,16,0,0,0,0,1,0
Telangana,Unknown,2019,July,Saturday,15:48,Serious,3,Two-Wheeler,7,3,Stormy,National Highway,Damaged,Daylight,Unknown,109,68,Male,Valid,No,Bridge,707,7,15,0,0,0,0,1,1
Bihar,Unknown,2022,May,Tuesday,1:45,Minor,4,Car,1,5,Stormy,Village Road,Dry,Dark,Signals,72,40,Female,Valid,Yes,Straight Road,708,5,1,1,0,0,1,0,0
Chhattisgarh,Unknown,2022,July,Monday,16:40,Serious,2,Truck,4,2,Hazy,National Highway,Wet,Daylight,Unknown,94,68,Female,Valid,No,Curve,709,7,16,0,0,0,0,0,1
Rajasthan,Jodhpur,2020,September,Tuesday,4:30,Serious,1,Cycle,0,2,Stormy,Village Road,Dry,Dawn,Signals,50,32,Female,Expired,No,Intersection,710,9,4,1,0,0,0,0,1
Goa,Unknown,2020,October,Saturday,3:32,Fatal,2,Bus,9,4,Rainy,Village Road,Dry,Daylight,Police Checkpost,35,18,Male,Expired,No,Curve,711,10,3,1,0,1,0,1,1
Jharkhand,Unknown,2018,October,Tuesday,16:43,Serious,1,Two-Wheeler,8,4,Clear,Urban Road,Damaged,Dawn,Unknown,39,58,Male,Valid,Yes,Intersection,712,10,16,0,0,0,1,0,1
Puducherry,Unknown,2018,November,Friday,5:23,Fatal,5,Truck,9,2,Stormy,State Highway,Under Construction,Daylight,Police Checkpost,106,47,Male,Unknown,Yes,Curve,713,11,5,1,0,0,1,0,1
Kerala,Unknown,2023,June,Monday,18:51,Minor,5,Auto-Rickshaw,5,1,Clear,Village Road,Under Construction,Dawn,Signals,113,53,Female,Valid,Yes,Bridge,714,6,18,0,1,0,1,0,0
Bihar,Unknown,2020,March,Friday,11:4,Serious,2,Auto-Rickshaw,3,2,Hazy,National Highway,Damaged,Daylight,Unknown,64,43,Male,Valid,Yes,Intersection,715,3,11,0,0,0,1,0,1
Odisha,Unknown,2019,October,Tuesday,9:19,Serious,4,Auto-Rickshaw,7,4,Foggy,National Highway,Damaged,Daylight,Unknown,108,31,Female,Valid,No,Intersection,716,10,9,0,1,0,0,0,1
Nagaland,Unknown,2018,December,Monday,8:53,Fatal,1,Auto-Rickshaw,10,4,Hazy,Village Road,Dry,Daylight,Police Checkpost,94,70,Male,Expired,No,Straight Road,717,12,8,0,1,0,0,0,1
Andhra Pradesh,Tirupati,2021,April,Thursday,20:35,Minor,5,Two-Wheeler,6,4,Clear,State Highway,Wet,Dusk,Unknown,115,48,Female,Valid,Yes,Intersection,718,4,20,1,0,0,1,0,0
Nagaland,Unknown,2023,March,Friday,2:21,Fatal,3,Car,2,4,Hazy,National Highway,Under Construction,Daylight,Signs,31,27,Male,Unknown,Yes,Straight Road,719,3,2,1,0,0,1,0,1
Tamil Nadu,Coimbatore,2022,March,Wednesday,6:32,Serious,1,Auto-Rickshaw,2,3,Hazy,National Highway,Wet,Dusk,Signals,80,48,Female,Unknown,Yes,Straight Road,720,3,6,0,0,0,1,0,1
Chhattisgarh,Unknown,2018,March,Tuesday,6:7,Fatal,2,Auto-Rickshaw,10,0,Stormy,Village Road,Under Construction,Dawn,Unknown,96,28,Female,Unknown,No,Straight Road,721,3,6,0,0,0,0,0,1
Tripura,Unknown,2019,March,Wednesday,7:27,Minor,2,Two-Wheeler,4,0,Rainy,Urban Road,Wet,Daylight,Unknown,71,20,Male,Unknown,Yes,Intersection,722,3,7,0,0,1,1,0,0
Maharashtra,Pune,2019,June,Friday,8:34,Serious,2,Cycle,3,1,Rainy,Urban Road,Wet,Daylight,Signs,91,47,Female,Expired,Yes,Curve,723,6,8,0,1,1,1,0,1
Karnataka,Mangalore,2020,February,Monday,10:7,Serious,3,Bus,2,0,Foggy,National Highway,Wet,Dusk,Unknown,55,37,Female,Expired,Yes,Bridge,724,2,10,0,1,0,1,0,1
Andhra Pradesh,Vijayawada,2021,May,Thursday,20:27,Minor,3,Auto-Rickshaw,5,4,Foggy,National Highway,Wet,Dusk,Signs,85,29,Female,Expired,Yes,Intersection,725,5,20,1,0,0,1,0,0
Bihar,Unknown,2020,January,Wednesday,5:22,Minor,2,Bus,7,0,Clear,Urban Road,Under Construction,Daylight,Signs,62,70,Male,Expired,No,Intersection,726,1,5,1,0,0,0,0,0
Chandigarh,Unknown,2022,May,Thursday,5:22,Minor,1,Auto-Rickshaw,3,3,Rainy,Urban Road,Under Construction,Daylight,Signs,83,70,Male,Valid,No,Straight Road,727,5,5,1,0,1,0,0,0
Assam,Unknown,2018,January,Saturday,19:20,Serious,3,Two-Wheeler,9,4,Hazy,Urban Road,Under Construction,Dusk,Signals,31,43,Female,Unknown,No,Intersection,728,1,19,0,1,0,0,1,1
Uttarakhand,Unknown,2021,June,Thursday,9:35,Minor,4,Two-Wheeler,3,0,Clear,Village Road,Damaged,Dusk,Police Checkpost,119,66,Male,Valid,Yes,Straight Road,729,6,9,0,1,0,1,0,0
Punjab,Unknown,2022,October,Sunday,10:4,Minor,3,Bus,1,0,Hazy,National Highway,Dry,Dusk,Signs,55,51,Male,Valid,No,Bridge,730,10,10,0,1,0,0,1,0
Odisha,Unknown,2020,July,Sunday,14:45,Serious,2,Two-Wheeler,3,5,Hazy,Village Road,Damaged,Dusk,Police Checkpost,67,59,Female,Valid,Yes,Intersection,731,7,14,0,0,0,1,1,1
Uttarakhand,Unknown,2023,September,Tuesday,6:46,Fatal,4,Pedestrian,6,0,Rainy,Urban Road,Damaged,Daylight,Signs,105,45,Female,Unknown,Yes,Straight Road,732,9,6,0,0,1,1,0,1
Rajasthan,Jaipur,2019,June,Friday,12:25,Minor,5,Car,7,0,Rainy,National Highway,Dry,Dusk,Signals,99,21,Male,Valid,No,Curve,733,6,12,0,0,1,0,0,0
Gujarat,Surat,2022,March,Monday,15:39,Fatal,3,Cycle,9,3,Rainy,Village Road,Under Construction,Dusk,Police Checkpost,48,45,Female,Expired,No,Straight Road,734,3,15,0,0,1,0,0,1
Karnataka,Mysore,2021,August,Thursday,16:45,Fatal,5,Two-Wheeler,6,4,Foggy,State Highway,Dry,Daylight,Unknown,96,27,Male,Unknown,No,Intersection,735,8,16,0,0,0,0,0,1
Sikkim,Unknown,2021,November,Monday,11:33,Fatal,5,Pedestrian,5,1,Rainy,Urban Road,Dry,Daylight,Unknown,103,51,Female,Valid,No,Intersection,736,11,11,0,0,1,0,0,1
Jharkhand,Unknown,2019,March,Friday,17:16,Serious,2,Pedestrian,9,3,Stormy,Village Road,Under Construction,Daylight,Unknown,55,36,Female,Expired,No,Straight Road,737,3,17,0,1,0,0,0,1
Mizoram,Unknown,2020,April,Friday,17:47,Fatal,5,Bus,8,3,Foggy,National Highway,Damaged,Dusk,Unknown,68,57,Female,Valid,No,Straight Road,738,4,17,0,1,0,0,0,1
Chhattisgarh,Unknown,2018,September,Monday,13:50,Serious,3,Pedestrian,1,0,Foggy,National Highway,Damaged,Dark,Signals,66,33,Male,Valid,No,Curve,739,9,13,0,0,0,0,0,1
Madhya Pradesh,Unknown,2021,November,Monday,8:11,Fatal,2,Bus,7,1,Clear,Village Road,Wet,Dawn,Signs,70,69,Male,Unknown,No,Bridge,740,11,8,0,1,0,0,0,1
West Bengal,Kolkata,2021,December,Saturday,11:11,Serious,5,Two-Wheeler,3,3,Foggy,National Highway,Damaged,Daylight,Signals,102,53,Female,Valid,No,Bridge,741,12,11,0,0,0,0,1,1
Himachal Pradesh,Unknown,2021,November,Wednesday,1:57,Minor,1,Two-Wheeler,1,3,Stormy,Urban Road,Damaged,Dark,Unknown,107,62,Female,Expired,Yes,Straight Road,742,11,1,1,0,0,1,0,0
Kerala,Unknown,2021,December,Monday,0:51,Fatal,1,Two-Wheeler,4,4,Hazy,State Highway,Under Construction,Daylight,Unknown,87,53,Female,Unknown,No,Intersection,743,12,0,1,0,0,0,0,1
Bihar,Unknown,2021,May,Wednesday,5:2,Fatal,2,Car,9,2,Foggy,Urban Road,Under Construction,Dawn,Signs,90,39,Female,Unknown,No,Intersection,744,5,5,1,0,0,0,0,1
Chandigarh,Unknown,2021,December,Sunday,15:44,Serious,2,Two-Wheeler,1,0,Foggy,State Highway,Dry,Dawn,Signs,58,35,Male,Unknown,No,Curve,745,12,15,0,0,0,0,1,1
Tripura,Unknown,2020,March,Thursday,13:11,Serious,5,Auto-Rickshaw,6,5,Clear,State Highway,Wet,Dark,Unknown,95,47,Female,Unknown,No,Curve,746,3,13,0,0,0,0,0,1
Kerala,Unknown,2020,March,Wednesday,5:10,Fatal,5,Car,5,5,Clear,Village Road,Wet,Dusk,Unknown,58,35,Female,Unknown,Yes,Curve,747,3,5,1,0,0,1,0,1
Madhya Pradesh,Unknown,2023,April,Monday,8:20,Serious,2,Cycle,10,1,Foggy,Urban Road,Under Construction,Dusk,Unknown,98,44,Female,Unknown,No,Bridge,748,4,8,0,1,0,0,0,1
Delhi,New Delhi,2022,April,Monday,16:22,Fatal,3,Cycle,2,2,Stormy,National Highway,Dry,Dark,Signals,80,20,Male,Valid,Yes,Curve,749,4,16,0,0,0,1,0,1
Himachal Pradesh,Unknown,2021,March,Tuesday,20:13,Minor,1,Truck,9,3,Rainy,Village Road,Damaged,Dark,Police Checkpost,96,28,Male,Valid,Yes,Straight Road,750,3,20,1,0,1,1,0,0
Nagaland,Unknown,2023,December,Monday,11:7,Fatal,4,Two-Wheeler,4,4,Rainy,State Highway,Wet,Dark,Signals,39,27,Male,Expired,Yes,Curve,751,12,11,0,0,1,1,0,1
West Bengal,Siliguri,2018,April,Tuesday,4:23,Minor,4,Pedestrian,0,5,Foggy,National Highway,Damaged,Dark,Unknown,51,54,Female,Valid,Yes,Bridge,752,4,4,1,0,0,1,0,0
Tripura,Unknown,2020,January,Wednesday,11:42,Serious,3,Bus,2,5,Rainy,Village Road,Dry,Dusk,Signals,46,43,Male,Expired,No,Straight Road,753,1,11,0,0,1,0,0,1
Mizoram,Unknown,2019,October,Tuesday,0:6,Fatal,1,Truck,3,0,Clear,National Highway,Dry,Dusk,Signs,75,56,Male,Valid,No,Intersection,754,10,0,1,0,0,0,0,1
Meghalaya,Unknown,2020,January,Wednesday,4:39,Fatal,4,Two-Wheeler,8,0,Clear,Urban Road,Dry,Dusk,Unknown,68,59,Male,Expired,No,Bridge,755,1,4,1,0,0,0,0,1
Mizoram,Unknown,2018,February,Thursday,1:52,Minor,5,Car,9,5,Rainy,State Highway,Damaged,Dawn,Signs,107,48,Male,Unknown,No,Straight Road,756,2,1,1,0,1,0,0,0
Mizoram,Unknown,2022,September,Tuesday,1:27,Serious,5,Two-Wheeler,1,0,Stormy,Village Road,Under Construction,Daylight,Signs,80,57,Male,Valid,Yes,Curve,757,9,1,1,0,0,1,0,1
Sikkim,Unknown,2022,April,Saturday,22:16,Minor,4,Bus,9,4,Foggy,Urban Road,Under Construction,Daylight,Unknown,115,22,Male,Expired,No,Intersection,758,4,22,1,0,0,0,1,0
Punjab,Unknown,2021,March,Sunday,17:57,Serious,2,Truck,2,0,Hazy,State Highway,Damaged,Dusk,Unknown,44,54,Male,Unknown,No,Curve,759,3,17,0,1,0,0,1,1
Jharkhand,Unknown,2018,February,Saturday,6:48,Minor,1,Truck,5,0,Hazy,National Highway,Wet,Dusk,Signals,67,25,Male,Valid,Yes,Straight Road,760,2,6,0,0,0,1,1,0
Chandigarh,Unknown,2019,May,Tuesday,21:59,Serious,1,Truck,5,5,Clear,Village Road,Under Construction,Daylight,Signals,97,55,Female,Valid,Yes,Curve,761,5,21,1,0,0,1,0,1
Puducherry,Unknown,2019,December,Sunday,16:18,Serious,5,Bus,6,5,Hazy,Urban Road,Dry,Dawn,Signs,79,65,Female,Unknown,Yes,Curve,762,12,16,0,0,0,1,1,1
West Bengal,Kolkata,2020,October,Thursday,3:43,Minor,3,Car,10,4,Hazy,State Highway,Dry,Dark,Unknown,63,27,Female,Expired,No,Straight Road,763,10,3,1,0,0,0,0,0
Punjab,Unknown,2022,January,Tuesday,7:41,Fatal,5,Two-Wheeler,9,2,Foggy,Urban Road,Dry,Dark,Signals,84,39,Male,Valid,Yes,Bridge,764,1,7,0,0,0,1,0,1
Odisha,Unknown,2022,April,Thursday,3:40,Serious,3,Bus,1,3,Foggy,National Highway,Dry,Dusk,Signs,43,65,Male,Valid,No,Intersection,765,4,3,1,0,0,0,0,1
Telangana,Unknown,2023,July,Tuesday,16:57,Fatal,2,Car,9,4,Hazy,State Highway,Dry,Dusk,Police Checkpost,39,27,Female,Expired,Yes,Bridge,766,7,16,0,0,0,1,0,1
Himachal Pradesh,Unknown,2020,January,Wednesday,8:47,Fatal,3,Cycle,4,4,Clear,Village Road,Dry,Dark,Signals,35,62,Male,Valid,No,Bridge,767,1,8,0,1,0,0,0,1
Punjab,Unknown,2019,October,Monday,22:10,Minor,4,Truck,2,3,Rainy,State Highway,Damaged,Daylight,Unknown,32,24,Female,Expired,Yes,Curve,768,10,22,1,0,1,1,0,0
Arunachal Pradesh,Unknown,2018,June,Saturday,9:44,Minor,4,Truck,9,1,Hazy,Village Road,Wet,Dusk,Signals,95,18,Female,Expired,No,Intersection,769,6,9,0,1,0,0,1,0
Mizoram,Unknown,2019,September,Thursday,11:47,Minor,3,Two-Wheeler,4,2,Stormy,National Highway,Wet,Dark,Police Checkpost,82,54,Male,Valid,No,Straight Road,770,9,11,0,0,0,0,0,0
Telangana,Unknown,2018,January,Tuesday,23:21,Minor,5,Cycle,6,5,Stormy,Urban Road,Wet,Dusk,Signs,101,25,Male,Unknown,Yes,Bridge,771,1,23,1,0,0,1,0,0
Jammu and Kashmir,Unknown,2023,April,Sunday,23:55,Serious,2,Pedestrian,8,5,Foggy,Urban Road,Dry,Daylight,Police Checkpost,51,40,Female,Unknown,No,Intersection,772,4,23,1,0,0,0,1,1
Assam,Unknown,2021,February,Friday,5:46,Serious,1,Two-Wheeler,0,3,Stormy,National Highway,Wet,Dusk,Unknown,88,67,Male,Expired,Yes,Bridge,773,2,5,1,0,0,1,0,1
Chhattisgarh,Unknown,2022,February,Monday,20:21,Serious,1,Two-Wheeler,8,0,Stormy,National Highway,Wet,Dark,Police Checkpost,107,67,Female,Unknown,Yes,Straight Road,774,2,20,1,0,0,1,0,1
Gujarat,Vadodara,2021,April,Wednesday,5:56,Serious,5,Bus,7,3,Rainy,Village Road,Wet,Dark,Police Checkpost,33,43,Female,Expired,Yes,Straight Road,775,4,5,1,0,1,1,0,1
Chandigarh,Unknown,2021,January,Monday,8:34,Minor,4,Two-Wheeler,4,2,Stormy,Village Road,Under Construction,Dusk,Signals,120,33,Female,Unknown,No,Curve,776,1,8,0,1,0,0,0,0
Karnataka,Mysore,2021,February,Monday,8:0,Minor,2,Car,7,0,Stormy,Village Road,Wet,Dusk,Signals,72,22,Male,Valid,No,Bridge,777,2,8,0,1,0,0,0,0
Gujarat,Vadodara,2018,January,Thursday,23:43,Fatal,2,Bus,4,3,Hazy,Urban Road,Damaged,Dawn,Signals,92,63,Male,Valid,No,Intersection,778,1,23,1,0,0,0,0,1
Haryana,Unknown,2020,December,Tuesday,8:14,Serious,1,Auto-Rickshaw,8,4,Stormy,Urban Road,Wet,Daylight,Unknown,63,31,Male,Unknown,No,Straight Road,779,12,8,0,1,0,0,0,1
Delhi,Dwarka,2021,May,Friday,18:55,Serious,3,Truck,8,2,Hazy,Village Road,Under Construction,Dusk,Signs,66,22,Female,Valid,No,Intersection,780,5,18,0,1,0,0,0,1
Madhya Pradesh,Unknown,2021,December,Thursday,15:1,Fatal,1,Auto-Rickshaw,9,3,Rainy,Urban Road,Under Construction,Dusk,Signals,69,30,Male,Unknown,No,Curve,781,12,15,0,0,1,0,0,1
Goa,Unknown,2021,December,Thursday,15:7,Minor,4,Pedestrian,5,3,Stormy,Village Road,Wet,Dark,Signs,59,64,Male,Unknown,No,Straight Road,782,12,15,0,0,0,0,0,0
Manipur,Unknown,2019,January,Thursday,2:34,Serious,5,Pedestrian,6,0,Foggy,Village Road,Dry,Daylight,Signals,30,59,Male,Expired,No,Straight Road,783,1,2,1,0,0,0,0,1
Jharkhand,Unknown,2018,June,Wednesday,14:45,Minor,4,Auto-Rickshaw,8,1,Clear,State Highway,Damaged,Daylight,Unknown,35,42,Female,Valid,No,Bridge,784,6,14,0,0,0,0,0,0
Meghalaya,Unknown,2018,October,Saturday,14:17,Minor,1,Pedestrian,9,1,Rainy,State Highway,Dry,Dark,Police Checkpost,57,29,Female,Unknown,No,Intersection,785,10,14,0,0,1,0,1,0
Sikkim,Unknown,2022,March,Sunday,13:41,Minor,4,Car,9,1,Rainy,State Highway,Wet,Dawn,Police Checkpost,53,61,Female,Valid,No,Intersection,786,3,13,0,0,1,0,1,0
Delhi,New Delhi,2020,August,Wednesday,1:50,Fatal,2,Cycle,2,2,Foggy,Village Road,Under Construction,Dusk,Signals,96,26,Male,Valid,Yes,Intersection,787,8,1,1,0,0,1,0,1
West Bengal,Kolkata,2021,May,Wednesday,18:24,Fatal,2,Two-Wheeler,1,4,Clear,State Highway,Damaged,Dawn,Police Checkpost,38,21,Male,Valid,Yes,Curve,788,5,18,0,1,0,1,0,1
Sikkim,Unknown,2021,December,Friday,17:36,Minor,5,Truck,2,4,Rainy,State Highway,Dry,Dark,Police Checkpost,84,45,Male,Expired,Yes,Straight Road,789,12,17,0,1,1,1,0,0
West Bengal,Durgapur,2022,July,Saturday,20:52,Minor,2,Bus,0,4,Hazy,Village Road,Dry,Dark,Police Checkpost,53,65,Male,Expired,Yes,Curve,790,7,20,1,0,0,1,1,0
Chhattisgarh,Unknown,2021,May,Friday,16:4,Serious,5,Cycle,5,1,Foggy,National Highway,Dry,Daylight,Signals,45,49,Female,Expired,No,Curve,791,5,16,0,0,0,0,0,1
